date,rat_name,rat_ID,DOB,Sex,weight,Genotype,HL_date,invalid,file_name,experiment,phase,task,detail,stim_type,analysis_type,complete_block_count,trial_count,hit_percent,FA_percent,UUID,block_size
20241024,Orange3,747,20240717,Male,411,Fmr1_WT-Tsc2_WT,,"",BBN_60dB_0.5-1.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,21,210,0.866666666666667,,20241024121629_316.749006137252_1.13983227629784,10
20241024,Orange4,748,20240717,Male,396,Fmr1_KO-Tsc2_Het,,"",BBN_60dB_0-1s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,31,313,0.888178913738019,,20241024121630_187.315006926656_0.341573035810532,10
20241029,Orange1,745,20240717,Male,400,Fmr1_KO-Tsc2_WT,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,21,215,0.990697674418605,,20241029111455_268.191997334361_0.225765541156508,10
20241029,Orange2,746,20240717,Male,369,Fmr1_WT-Tsc2_Het,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,27,274,0.934306569343066,,20241029111456_259.032994508743_0.0467235748100099,10
20241029,Orange3,747,20240717,Male,407,Fmr1_WT-Tsc2_WT,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,36,369,0.802168021680217,,20241029121402_38.1740033626556_0.1010243660548,10
20241029,Orange4,748,20240717,Male,403,Fmr1_KO-Tsc2_Het,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,50,506,0.843873517786561,,20241029121403_75.2950049936771_0.203676823766347,10
20241030,Orange1,745,20240717,Male,395,Fmr1_KO-Tsc2_WT,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,27,278,0.992805755395683,,20241030113430_24.027007073164_0.249614930154065,10
20241030,Orange2,746,20240717,Male,361,Fmr1_WT-Tsc2_Het,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,31,317,0.962145110410095,,20241030113431_3.93599756062031_0.452788044418839,10
20241030,Orange3,747,20240717,Male,409,Fmr1_WT-Tsc2_WT,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,32,325,0.926153846153846,,20241030124413_5.88899441063404_0.0319641958561513,10
20241030,Orange4,748,20240717,Male,406,Fmr1_KO-Tsc2_Het,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,47,479,0.793319415448852,,20241030124414_65.083996206522_0.0912079180280142,10
20241031,Orange1,745,20240717,Male,402,Fmr1_KO-Tsc2_WT,,"",BBN_60dB_0.5-1.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,24,240,0.979166666666667,,20241031112234_263.081996887922_1.30453372575372,10
20241031,Orange2,746,20240717,Male,372,Fmr1_WT-Tsc2_Het,,"",BBN_60dB_0.5-1.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,27,279,0.960573476702509,,20241031112235_356.121001392603_0.939666938719247,10
20241031,Orange3,747,20240717,Male,412,Fmr1_WT-Tsc2_WT,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,30,304,0.960526315789474,,20241031122201_132.734001427889_0.0332765391083364,10
20241031,Orange4,748,20240717,Male,390,Fmr1_KO-Tsc2_Het,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,37,376,0.896276595744681,,20241031122202_137.414000183344_0.1390689402366,10
20241101,Orange1,745,20240717,Male,401,Fmr1_KO-Tsc2_WT,,"",BBN_60dB_0.5-1.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,17,170,0.98235294117647,,20241101111516_159.713999927044_1.06487837083934,10
20241101,Orange2,746,20240717,Male,368,Fmr1_WT-Tsc2_Het,,"",BBN_60dB_0.5-1.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,30,306,0.983660130718954,,20241101111517_118.119999021292_1.1098779765356,10
20241101,Orange3,747,20240717,Male,412,Fmr1_WT-Tsc2_WT,,"",BBN_60dB_0.5-1.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,37,374,0.885026737967914,,20241101121550_16.454004496336_1.06992168841563,10
20241101,Orange4,748,20240717,Male,393,Fmr1_KO-Tsc2_Het,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,46,468,0.925213675213675,,20241101121551_35.7530046254396_0.33889698955943,10
20241102,Orange1,745,20240717,Male,386,Fmr1_KO-Tsc2_WT,,"",BBN_60dB_1catch_0s,FXS x TSC,BBN,Training,None,BBN,Training - BBN,1,14,1,1,20241102111946_181.779993698001_2.22496544665909,10
20241102,Orange2,746,20240717,Male,364,Fmr1_WT-Tsc2_Het,,"",BBN_60dB_1catch_0s,FXS x TSC,BBN,Training,None,BBN,Training - BBN,25,254,0.986842105263158,0.307692307692308,20241102111947_16.1360017955303_1.22813998094806,10
20241102,Orange3,747,20240717,Male,414,Fmr1_WT-Tsc2_WT,,"",BBN_60dB_0.5-1.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,35,357,0.943977591036415,,20241102122406_1.0550033301115_0.511051623903516,10
20241102,Orange4,748,20240717,Male,386,Fmr1_KO-Tsc2_Het,,"",BBN_60dB_1catch_0s,FXS x TSC,BBN,Training,None,BBN,Training - BBN,12,128,0.947826086956522,0.615384615384615,20241102122407_631.125001609325_3.82842408374461,10
20241104,Orange1,745,20240717,Male,382,Fmr1_KO-Tsc2_WT,,"",BBN_60dB_1catch_0s,FXS x TSC,BBN,Training,None,BBN,Training - BBN,4,45,1,0.6,20241104111917_194.790997356176_1.23943019499461,10
20241104,Orange2,746,20240717,Male,360,Fmr1_WT-Tsc2_Het,,"",BBN_60dB_1catch_0s,FXS x TSC,BBN,Training,None,BBN,Training - BBN,26,266,0.98326359832636,0.333333333333333,20241104111918_92.2079991549253_3.22458633301529,10
20241104,Orange3,747,20240717,Male,415,Fmr1_WT-Tsc2_WT,,"",BBN_60dB_1catch_0s,FXS x TSC,BBN,Training,None,BBN,Training - BBN,26,269,0.954545454545455,0.481481481481482,20241104122121_173.525995016098_2.6699947094945,10
20241104,Orange4,748,20240717,Male,394,Fmr1_KO-Tsc2_Het,,"",BBN_60dB_1catch_0s,FXS x TSC,BBN,Training,None,BBN,Training - BBN,34,342,0.951298701298701,0.382352941176471,20241104122122_62.9739996045828_1.17465806514607,10
